"","simID","simLabel","scenario","procedure","period","t1","t2","statistic","value"
"210","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"medProbHealB0",0.175714285714286
"211","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"probFtGtFmsy",0
"212","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"yearAtDepProb",NA
"213","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"probAtDepYear",NA
"214","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"depAtYearProb",NA
"215","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"probGteDmsy",NA
"216","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"probGteLimit",NA
"217","Sim","Curr-ccRule","Curr","ccRule","Short",65,71,"omittedReps",NA
"218","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medAvgDep",1.39521919975109
"219","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1AvgDep",0.85022409502032
"220","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2AvgDep",2.04969618925948
"221","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medFinalDep",1.23355417003228
"222","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1finalDep",0.58074006650929
"223","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2finalDep",2.19141107849346
"224","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medLowDep",0.943793040723772
"225","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1LowDep",0.432937300522949
"226","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2LowDep",1.38197911694642
"227","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medAAV",37.9601758484861
"228","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1AAV",25.1207474512146
"229","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2AAV",58.1444276096268
"230","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"medAvgCatch",6.2226057793986
"231","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q1AvgCatch",3.87330868924414
"232","Sim","Curr-ccRule","Curr","ccRule","Medium",72,78,"Q2AvgCatch",10.1065481599236
