"","simFolder","simName","simFile","simInfo","simDate","scenario","mp","tMP","nT","nReps","rank","group"
"109","sim_071220151328277","sim_071220151328277","sim_071220151328277.Rdata","sim_071220151328277.info","71220151328277","NCod83HistM.csv","Dm0.5Dv0.3Mm1Mv0.4Q1",33,52,50,109,1
"110","sim_071220151328305","sim_071220151328305","sim_071220151328305.Rdata","sim_071220151328305.info","71220151328305","NCod83HistM.csv","Dm1Dv0.3Mm1Mv0.4Q1",33,52,50,110,1
"111","sim_071220151328335","sim_071220151328335","sim_071220151328335.Rdata","sim_071220151328335.info","71220151328335","NCod83HistM.csv","Dm1.5Dv0.3Mm1Mv0.4Q1",33,52,50,111,1
"112","sim_071220151328364","sim_071220151328364","sim_071220151328364.Rdata","sim_071220151328364.info","71220151328364","NCod83HistM.csv","Dm2Dv0.3Mm1Mv0.4Q1",33,52,50,112,1
"113","sim_071220151328393","sim_071220151328393","sim_071220151328393.Rdata","sim_071220151328393.info","71220151328393","NCod83HistM.csv","Dm0.5Dv0.4Mm1Mv0.4Q1",33,52,50,113,1
"114","sim_071220151328422","sim_071220151328422","sim_071220151328422.Rdata","sim_071220151328422.info","71220151328422","NCod83HistM.csv","Dm1Dv0.4Mm1Mv0.4Q1",33,52,50,114,1
"115","sim_071220151328453","sim_071220151328453","sim_071220151328453.Rdata","sim_071220151328453.info","71220151328453","NCod83HistM.csv","Dm1.5Dv0.4Mm1Mv0.4Q1",33,52,50,115,1
"116","sim_071220151328481","sim_071220151328481","sim_071220151328481.Rdata","sim_071220151328481.info","71220151328481","NCod83HistM.csv","Dm2Dv0.4Mm1Mv0.4Q1",33,52,50,116,1
"117","sim_071220151328510","sim_071220151328510","sim_071220151328510.Rdata","sim_071220151328510.info","71220151328510","NCod83HistM.csv","Dm0.5Dv0.5Mm1Mv0.4Q1",33,52,50,117,1
"118","sim_071220151328539","sim_071220151328539","sim_071220151328539.Rdata","sim_071220151328539.info","71220151328539","NCod83HistM.csv","Dm1Dv0.5Mm1Mv0.4Q1",33,52,50,118,1
"119","sim_071220151328568","sim_071220151328568","sim_071220151328568.Rdata","sim_071220151328568.info","71220151328568","NCod83HistM.csv","Dm1.5Dv0.5Mm1Mv0.4Q1",33,52,50,119,1
"120","sim_071220151328598","sim_071220151328598","sim_071220151328598.Rdata","sim_071220151328598.info","71220151328598","NCod83HistM.csv","Dm2Dv0.5Mm1Mv0.4Q1",33,52,50,120,1
"121","sim_071220151329027","sim_071220151329027","sim_071220151329027.Rdata","sim_071220151329027.info","71220151329027","NCod83HistM.csv","Dm0.5Dv0.1Mm1.5Mv0.4Q1",33,52,50,121,1
"122","sim_071220151329056","sim_071220151329056","sim_071220151329056.Rdata","sim_071220151329056.info","71220151329056","NCod83HistM.csv","Dm1Dv0.1Mm1.5Mv0.4Q1",33,52,50,122,1
"123","sim_071220151329086","sim_071220151329086","sim_071220151329086.Rdata","sim_071220151329086.info","71220151329086","NCod83HistM.csv","Dm1.5Dv0.1Mm1.5Mv0.4Q1",33,52,50,123,1
"124","sim_071220151329116","sim_071220151329116","sim_071220151329116.Rdata","sim_071220151329116.info","71220151329116","NCod83HistM.csv","Dm2Dv0.1Mm1.5Mv0.4Q1",33,52,50,124,1
"125","sim_071220151329145","sim_071220151329145","sim_071220151329145.Rdata","sim_071220151329145.info","71220151329145","NCod83HistM.csv","Dm0.5Dv0.2Mm1.5Mv0.4Q1",33,52,50,125,1
"126","sim_071220151329176","sim_071220151329176","sim_071220151329176.Rdata","sim_071220151329176.info","71220151329176","NCod83HistM.csv","Dm1Dv0.2Mm1.5Mv0.4Q1",33,52,50,126,1
"127","sim_071220151329205","sim_071220151329205","sim_071220151329205.Rdata","sim_071220151329205.info","71220151329205","NCod83HistM.csv","Dm1.5Dv0.2Mm1.5Mv0.4Q1",33,52,50,127,1
"128","sim_071220151329234","sim_071220151329234","sim_071220151329234.Rdata","sim_071220151329234.info","71220151329234","NCod83HistM.csv","Dm2Dv0.2Mm1.5Mv0.4Q1",33,52,50,128,1
"129","sim_071220151329264","sim_071220151329264","sim_071220151329264.Rdata","sim_071220151329264.info","71220151329264","NCod83HistM.csv","Dm0.5Dv0.3Mm1.5Mv0.4Q1",33,52,50,129,1
"130","sim_071220151329293","sim_071220151329293","sim_071220151329293.Rdata","sim_071220151329293.info","71220151329293","NCod83HistM.csv","Dm1Dv0.3Mm1.5Mv0.4Q1",33,52,50,130,1
"131","sim_071220151329323","sim_071220151329323","sim_071220151329323.Rdata","sim_071220151329323.info","71220151329323","NCod83HistM.csv","Dm1.5Dv0.3Mm1.5Mv0.4Q1",33,52,50,131,1
"132","sim_071220151329352","sim_071220151329352","sim_071220151329352.Rdata","sim_071220151329352.info","71220151329352","NCod83HistM.csv","Dm2Dv0.3Mm1.5Mv0.4Q1",33,52,50,132,1
"133","sim_071220151329381","sim_071220151329381","sim_071220151329381.Rdata","sim_071220151329381.info","71220151329381","NCod83HistM.csv","Dm0.5Dv0.4Mm1.5Mv0.4Q1",33,52,50,133,1
"134","sim_071220151329411","sim_071220151329411","sim_071220151329411.Rdata","sim_071220151329411.info","71220151329411","NCod83HistM.csv","Dm1Dv0.4Mm1.5Mv0.4Q1",33,52,50,134,1
"135","sim_071220151329440","sim_071220151329440","sim_071220151329440.Rdata","sim_071220151329440.info","71220151329440","NCod83HistM.csv","Dm1.5Dv0.4Mm1.5Mv0.4Q1",33,52,50,135,1
"136","sim_071220151329469","sim_071220151329469","sim_071220151329469.Rdata","sim_071220151329469.info","71220151329469","NCod83HistM.csv","Dm2Dv0.4Mm1.5Mv0.4Q1",33,52,50,136,1
"137","sim_071220151329499","sim_071220151329499","sim_071220151329499.Rdata","sim_071220151329499.info","71220151329499","NCod83HistM.csv","Dm0.5Dv0.5Mm1.5Mv0.4Q1",33,52,50,137,1
"138","sim_071220151329528","sim_071220151329528","sim_071220151329528.Rdata","sim_071220151329528.info","71220151329528","NCod83HistM.csv","Dm1Dv0.5Mm1.5Mv0.4Q1",33,52,50,138,1
"139","sim_071220151329558","sim_071220151329558","sim_071220151329558.Rdata","sim_071220151329558.info","71220151329558","NCod83HistM.csv","Dm1.5Dv0.5Mm1.5Mv0.4Q1",33,52,50,139,1
